title,text
"""Contractor Obligations and Performance Certificate Procedures"""," or damage may affect the performance of the
Works, the Engineer may require the repetition of any of the tests described in theContract. The requirement shall be made by notice within 28 days after the defect ordamage is remedied.
These tests shall be carried out in accordance with the terms applicable to the
previous tests, except that they shall be carried out at the risk and cost of the Partyliable, under Sub-Clause 11.2 [ Cost of Remedying Defects ], for the cost of the
remedial work.
Until the Performance Certificate has been issued, the Contractor shall have such right
of access to the Works as is reasonably required in order to comply with this Clause,except as may be inconsistent with the Employer’s reasonable security restrictions.
The Contractor shall, if required by the Engineer, search for the cause of any defect,
under the direction of the Engineer. Unless the defect is to be remedied at the cost ofthe Contractor under Sub-Clause 11.2 [ Cost of Remedying Defects ], the Cost of the
search plus profit shall be agreed or determined by the Engineer in accordance withSub-Clause 3.5 [ Determinations ] and shall be included in the Contract Price.
Performance of the Contractor’s obligations shall not be considered to have been
completed until the Engineer has issued the Performance Certificate to the Contractor,stating the date on which the Contractor completed his obligations under theContract.
The Engineer shall issue the Performance Certificate within 28 days after the latest of
the expiry dates of the Defects Notification Periods, or as soon thereafter as theContractor has supplied all the Contractor’s Documents and completed and tested allthe Works, including remedying any defects. A copy of the Performance Certificateshall be issued to the Employer.
Only the Performance Certificate shall be deemed to constitute acceptance of the
Works.
After the Performance Certificate has been issued, each Party shall remain liable for
the fulfilment of any obligation which remains unperformed at that time. For thepurposes of determining the nature and extent of unperformed obligations, theContract shall be deemed to remain in force.
Upon receiving the Performance Certificate, the Contractor shall remove any
remaining Contractor’s Equipment, surplus material, wreckage, rubbish andTemporary Works from the Site.
If all these items have not been removed within 28 days after the Employer receives a
copy of the Performance Certificate, the Employer may sell or otherwise dispose ofany remaining items. The Employer shall be entitled to be paid the costs incurred inconnection with, or attributable to, such sale or disposal and restoring the Site.
Any balance of the moneys from the sale shall be paid to the Contractor. If these
moneys are less than the Employer�"
Contractor Responsibilities and Payment Measurement Procedures," incurred inconnection with, or attributable to, such sale or disposal and restoring the Site.
Any balance of the moneys from the sale shall be paid to the Contractor. If these
moneys are less than the Employer’s costs, the Contractor shall pay the outstandingbalance to the Employer.11.6
Further Tests
## 11 7
Right of Access
## 11 8Contractor to Search
## 11 9Performance Certificate
## 11 10Unfulfilled Obligations
## 11 11Clearance of Site
## 38 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
The Works shall be measured, and valued for payment, in accordance with this
Clause.
Whenever the Engineer requires any part of the Works to be measured, reasonable
notice shall be given to the Contractor’s Representative, who shall:
(a) promptly either attend or send another qualified representative to assist the
Engineer in making the measurement, and
(b) supply any particulars requested by the Engineer.
If the Contractor fails to attend or send a representative, the measurement made by
(or on behalf of) the Engineer shall be accepted as accurate.
Except as otherwise stated in the Contract, wherever any Permanent Works are to be
measured from records, these shall be prepared by the Engineer. The Contractor shall,as and when requested, attend to examine and agree the records with the Engineer,and shall sign the same when agreed. If the Contractor does not attend, the recordsshall be accepted as accurate.
If the Contractor examines and disagrees the records, and/or does not sign them as
agreed, then the Contractor shall give notice to the Engineer of the respects in whichthe records are asserted to be inaccurate. After receiving this notice, the Engineershall review the records and either confirm or vary them. If the Contractor does not sogive notice to the Engineer within 14 days after being requested to examine therecords, they shall be accepted as accurate.
Except as otherwise stated in the Contract and notwithstanding local practice:
(a) measurement shall be made of the net actual quantity of each item of the
Permanent Works, and
(b) the method of measurement shall be in accordance with the Bill of Quantities
or other applicable Schedules.
Except as otherwise stated in the Contract, the Engineer shall proceed in accordance
with Sub-Clause 3.5 [ Determinations ] to agree or determine the Contract Price by
evaluating each item of work, applying the measurement agreed or determined inaccordance with the above Sub-Clauses 12.1 and 12.2 and the appropriate rate orprice for the item.
For each item of work, the appropriate rate or price for the item shall be the rate or
price specified for such item in the Contract or, if there"
Contract Pricing and Measurement Guidelines for Work Items," 12.1 and 12.2 and the appropriate rate orprice for the item.
For each item of work, the appropriate rate or price for the item shall be the rate or
price specified for such item in the Contract or, if there is no such item, specified forsimilar work. 
Any item of work included in the Bill of Quantities for which no rate or price was
specified shall be considered as included in other rates and prices in the Bill ofQuantities and will not be paid for separately.
However, a new rate or price shall be appropriate for an item of work if:12.1
Works to be Measured
## 12 2
Method of Measurement
## 12 3Evaluation12Measurement and Evaluation
## 12 4
Omissions
## 13 1
Right to Vary(a) (i) the measured quantity of the item is changed by more than 25% from
the quantity of this item in the Bill of Quantities or other Schedule,
(ii) this change in quantity multiplied by such specified rate for this item
exceeds 0.25% of the Accepted Contract Amount,
(iii) this change in quantity directly changes the Cost per unit quantity of this
item by more than 1%, and
(iv) this item is not specified in the Contract as a “fixed rate item"";
or(b) (i) the work is instructed under Clause 13 [ Variations and Adjustments ],
(ii) no rate or price is specified in the Contract for this item, and(iii) no specified rate or price is appropriate because the item of work is not
of similar character, or is not executed under similar conditions, as anyitem in the Contract.
Each new rate or price shall be derived from any relevant rates or prices in the
Contract, with reasonable adjustments to take account of the matters described insub-paragraph (a) and/or (b), as applicable. If no rates or prices are relevant for thederivation of a new rate or price, it shall be derived from the reasonable Cost ofexecuting the work, together with profit, taking account of any other relevant matters.
Until such time as an appropriate rate or price is agreed or determined, the Engineer
shall determine a provisional rate or price for the purposes of Interim PaymentCertificates.
Whenever the omission of any work forms part (or all) of a Variation, the value of which
has not been agreed, if:
(a) the Contractor will incur (or has incurred) cost which, if the work had not been
omitted, would have been deemed to be covered by a sum forming part of theAccepted Contract Amount;
(b) the omission of the work will result (or has resulted) in this sum not forming part
of the Contract Price; and
(c) this cost is not deemed to"
Contractor Variations and Cost Adjustments in Construction Contracts," a sum forming part of theAccepted Contract Amount;
(b) the omission of the work will result (or has resulted) in this sum not forming part
of the Contract Price; and
(c) this cost is not deemed to be included in the evaluation of any substituted
work;
then the Contractor shall give notice to the Engineer accordingly, with supporting
particulars. Upon receiving this notice, the Engineer shall proceed in accordance withSub-Clause 3.5 [ Determinations ] to agree or determine this cost, which shall be
included in the Contract Price.
Variations may be initiated by the Engineer at any time prior to issuing the Taking-OverCertificate for the Works, either by an instruction or by a request for the Contractor tosubmit a proposal.
The Contractor shall execute and be bound by each Variation, unless the Contractor
promptly gives notice to the Engineer stating (with supporting particulars) that theContractor cannot readily obtain the Goods required for the Variation. Upon receiving this notice, the Engineer shall cancel, confirm or vary the instruction.
Each Variation may include:13Variations and Adjustments
## 40 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
(a) changes to the quantities of any item of work included in the Contract (however,
such changes do not necessarily constitute a Variation),
(b) changes to the quality and other characteristics of any item of work,(c) changes to the levels, positions and/or dimensions of any part of the Works,(d) omission of any work unless it is to be carried out by others,(e) any additional work, Plant, Materials or services necessary for the Permanent
Works, including any associated Tests on Completion, boreholes and othertesting and exploratory work, or
(f) changes to the sequence or timing of the execution of the Works.
The Contractor shall not make any alteration and/or modification of the Permanent
Works, unless and until the Engineer instructs or approves a Variation.
The Contractor may, at any time, submit to the Engineer a written proposal which (in
the Contractor’s opinion) will, if adopted, (i) accelerate completion, (ii) reduce the costto the Employer of executing, maintaining or operating the Works, (iii) improve theefficiency or value to the Employer of the completed Works, or (iv) otherwise be ofbenefit to the Employer.
The proposal shall be prepared at the cost of the Contractor and shall include the
items listed in Sub-Clause 13.3 [ Variation Procedure ].
If a proposal, which is approved by the Engineer, includes a change in the design of
part of the Permanent Works, then unless otherwise agreed by both Parties:
(a) the Contractor"
Variation Procedure for Design Changes in Contracts,"ause 13.3 [ Variation Procedure ].
If a proposal, which is approved by the Engineer, includes a change in the design of
part of the Permanent Works, then unless otherwise agreed by both Parties:
(a) the Contractor shall design this part,
(b) sub-paragraphs (a) to (d) of Sub-Clause 4.1 [ Contractor’s General Obligations ]
shall apply, and
(c) if this change results in a reduction in the contract value of this part, the
Engineer shall proceed in accordance with Sub-Clause 3.5 [ Determinations ] to
agree or determine a fee, which shall be included in the Contract Price. This feeshall be half (50%) of the difference between the following amounts:
(i) such reduction in contract value, resulting from the change, excluding
adjustments under Sub-Clause 13.7 [ Adjustments for Changes in
Legislation ] and Sub-Clause 13.8 [ Adjustments for Changes in Cost ],
and
(ii) the reduction (if any) in the value to the Employer of the varied works,
taking account of any reductions in quality, anticipated life or operationalefficiencies.
However, if amount (i) is less than amount (ii), there shall not be a fee.
If the Engineer requests a proposal, prior to instructing a Variation, the Contractor shall
respond in writing as soon as practicable, either by giving reasons why he cannotcomply (if this is the case) or by submitting:
(a) a description of the proposed work to be performed and a programme for its
execution,
(b) the Contractor’s proposal for any necessary modifications to the programme
according to Sub-Clause 8.3 [ Programme ] and to the Time for Completion, and
(c) the Contractor’s proposal for evaluation of the Variation.
The Engineer shall, as soon as practicable after receiving such proposal (under Sub-13.2
Value Engineering
## 13 3Variation Procedure
Clause 13.2 [ Value Engineering ] or otherwise), respond with approval, disapproval or
comments. The Contractor shall not delay any work whilst awaiting a response.
Each instruction to execute a Variation, with any requirements for the recording of Costs,
shall be issued by the Engineer to the Contractor, who shall acknowledge receipt.
Each Variation shall be evaluated in accordance with Clause 12 [ Measurement and
Evaluation ], unless the Engineer instructs or approves otherwise in accordance with
this Clause.
If the Contract provides for payment of the Contract Price in more than one currency,
then whenever an adjustment is agreed, approved or determined as stated above, theamount payable in each of the applicable currencies shall be specified. For thispurpose, reference shall"
Contract Price Adjustments and Provisional Sums Procedures,"If the Contract provides for payment of the Contract Price in more than one currency,
then whenever an adjustment is agreed, approved or determined as stated above, theamount payable in each of the applicable currencies shall be specified. For thispurpose, reference shall be made to the actual or expected currency proportions ofthe Cost of the varied work, and to the proportions of various currencies specified forpayment of the Contract Price.
Each Provisional Sum shall only be used, in whole or in part, in accordance with the
Engineer’s instructions, and the Contract Price shall be adjusted accordingly. The totalsum paid to the Contractor shall include only such amounts, for the work, supplies orservices to which the Provisional Sum relates, as the Engineer shall have instructed.For each Provisional Sum, the Engineer may instruct:
(a) work to be executed (including Plant, Materials or services to be supplied) by the
Contractor and valued under Sub-Clause 13.3 [ Variation Procedure ]; and/or
(b) Plant, Materials or services to be purchased by the Contractor, from a
nominated Subcontractor (as defined in Clause 5 [ Nominated Subcontractors ]
or otherwise; and for which there shall be included in the Contract Price:
(i) the actual amounts paid (or due to be paid) by the Contractor, and
(ii) a sum for overhead charges and profit, calculated as a percentage of
these actual amounts by applying the relevant percentage rate (if any)stated in the appropriate Schedule. If there is no such rate, thepercentage rate stated in the Contract Data shall be applied.
The Contractor shall, when required by the Engineer, produce quotations, invoices,
vouchers and accounts or receipts in substantiation.
For work of a minor or incidental nature, the Engineer may instruct that a Variation shall
be executed on a daywork basis. The work shall then be valued in accordance with theDaywork Schedule included in the Contract, and the following procedure shall apply. Ifa Daywork Schedule is not included in the Contract, this Sub-Clause shall not apply.
Before ordering Goods for the work, the Contractor shall submit quotations to the
Engineer. When applying for payment, the Contractor shall submit invoices, vouchersand accounts or receipts for any Goods.
Except for any items for which the Daywork Schedule specifies that payment is not
due, the Contractor shall deliver each day to the Engineer accurate statements induplicate which shall include the following details of the resources used in executingthe previous day’s work:
(a) the names, occupations and time of Contractor’s Personnel,13.4
Payment in Applicable 
Currencies
## 13 5
Provisional Sums
## 13 6Daywork
## 42 © FIDIC 2005. MDB"
Contractor Payment Adjustments Due to Legal Changes," and time of Contractor’s Personnel,13.4
Payment in Applicable 
Currencies
## 13 5
Provisional Sums
## 13 6Daywork
## 42 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
(b) the identification, type and time of Contractor’s Equipment and Temporary
Works, and
(c) the quantities and types of Plant and Materials used.
One copy of each statement will, if correct, or when agreed, be signed by the Engineer
and returned to the Contractor. The Contractor shall then submit priced statements ofthese resources to the Engineer, prior to their inclusion in the next Statement underSub-Clause 14.3 [ Application for Interim Payment Certificates ].
The Contract Price shall be adjusted to take account of any increase or decrease in
Cost resulting from a change in the Laws of the Country (including the introduction ofnew Laws and the repeal or modification of existing Laws) or in the judicial or officialgovernmental interpretation of such Laws, made after the Base Date, which affect theContractor in the performance of obligations under the Contract.
If the Contractor suffers (or will suffer) delay and/or incurs (or will incur) additional Cost
as a result of these changes in the Laws or in such interpretations, made after theBase Date, the Contractor shall give notice to the Engineer and shall be entitledsubject to Sub-Clause 20.1 [ Contractor’s Claims ] to:
(a) an extension of time for any such delay, if completion is or will be delayed,
under Sub-Clause 8.4 [ Extension of Time for Completion ], and
(b) payment of any such Cost, which shall be included in the Contract Price.
After receiving this notice, the Engineer shall proceed in accordance with Sub-Clause
## 3 5 [Determinations ] to agree or determine these matters.
Notwithstanding the foregoing, the Contractor shall not be entitled to such an
extension of time if the same shall already have been taken into account indetermining an extension and such Cost shall not be separately paid if the same shallalready have been taken into account in the indexing of any inputs to the table ofadjustment data in accordance with the provisions of Sub-Clause 13.8.
In this Sub-Clause, “table of adjustment data” means the completed table of
adjustment data for local and foreign currencies included in the Schedules. If there isno such table of adjustment data, this Sub-Clause shall not apply.
If this Sub-Clause applies, the amounts payable to the Contractor shall be adjusted
for rises or falls in the cost of labour, Goods and other inputs to the Works, by theaddition or deduction of the amounts determined by the form"
Contractor Payment Adjustments for Cost Changes,"If this Sub-Clause applies, the amounts payable to the Contractor shall be adjusted
for rises or falls in the cost of labour, Goods and other inputs to the Works, by theaddition or deduction of the amounts determined by the formulae prescribed in thisSub-Clause. To the extent that full compensation for any rise or fall in Costs is notcovered by the provisions of this or other Clauses, the Accepted Contract Amountshall be deemed to have included amounts to cover the contingency of other rises andfalls in costs.
The adjustment to be applied to the amount otherwise payable to the Contractor, as
valued in accordance with the appropriate Schedule and certified in PaymentCertificates, shall be determined from formulae for each of the currencies in which theContract Price is payable. No adjustment is to be applied to work valued on the basisof Cost or current prices. The formulae shall be of the following general type:
Pn  = a+  bL
n+  cEn+  dMn+  ......
Lo Eo Mo
where:13.7
Adjustments for
Changes in Legislation
## 13 8
Adjustments for
Changes in Cost
“Pn” is the adjustment multiplier to be applied to the estimated contract value
in the relevant currency of the work carried out in period “n”, this period beinga month unless otherwise stated in the Contract Data;
“a” is a fixed coefficient, stated in the relevant table of adjustment data,
representing the non-adjustable portion in contractual payments;
“b”, “c”, “d”, … are coefficients representing the estimated proportion of each
cost element related to the execution of the Works, as stated in the relevanttable of adjustment data; such tabulated cost elements may be indicative ofresources such as labour, equipment and materials;
“Ln”, “En”, “Mn”, …  are the current cost indices or reference prices for period
“n”, expressed in the relevant currency of payment, each of which is applicableto the relevant tabulated cost element on the date 49 days prior to the last dayof the period (to which the particular Payment Certificate relates);  and
“Lo”, “Eo”, “Mo”, … are the base cost indices or reference prices, expressed
in the relevant currency of payment, each of which is applicable to the relevanttabulated cost element on the Base Date.
The cost indices or reference prices stated in the table of adjustment data shall be
used. If their source is in doubt, it shall be determined by the Engineer. For thispurpose, reference shall be made to the values of the indices at stated dates for thepurposes of clarification of the source; although"
Contract Price Adjustments and Currency Conversion Guidelines," adjustment data shall be
used. If their source is in doubt, it shall be determined by the Engineer. For thispurpose, reference shall be made to the values of the indices at stated dates for thepurposes of clarification of the source; although these dates (and thus these values)may not correspond to the base cost indices.
In cases where the “currency of index” is not the relevant currency of payment, each
index shall be converted into the relevant currency of payment at the selling rate,established by the central bank of the Country, of this relevant currency on the abovedate for which the index is required to be applicable.
Until such time as each current cost index is available, the Engineer shall determine a
provisional index for the issue of Interim Payment Certificates. When a current costindex is available, the adjustment shall be recalculated accordingly.
If the Contractor fails to complete the Works within the Time for Completion,
adjustment of prices thereafter shall be made using either (i) each index or priceapplicable on the date 49 days prior to the expiry of the Time for Completion of theWorks, or (ii) the current index or price: whichever is more favourable to theEmployer.
The weightings (coefficients) for each of the factors of cost stated in the table(s) of
adjustment data shall only be adjusted if they have been rendered unreasonable,unbalanced or inapplicable, as a result of Variations.
Unless otherwise stated in the Particular Conditions:
(a) the Contract Price shall be agreed or determined under Sub-Clause 12.3
[Evaluation ] and be subject to adjustments in accordance with the Contract;
(b) the Contractor shall pay all taxes, duties and fees required to be paid by him14.1
The Contract Price14Contract Price and Payment
## 44 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
under the Contract, and the Contract Price shall not be adjusted for any of
these costs except as stated in Sub-Clause 13.7 [ Adjustments for Changes in
Legislation ];
(c) any quantities which may be set out in the Bill of Quantities or other Schedule
are estimated quantities and are not to be taken as the actual and correctquantities:
(i) of the Works which the Contractor is required to execute, or
(ii) for the purposes of Clause 12 [ Measurement and Evaluation ]; and
(d) the Contractor shall submit to the Engineer, within 28 days after the
Commencement Date, a proposed breakdown of each lump sum price in theSchedules. The Engineer may take account of the breakdown when preparingPayment Certificates, but shall not be bound by it.
(e) Notwithstanding the provisions of subparagraph (b),"
"""Advance Payment Terms and Conditions for Contractors"""," a proposed breakdown of each lump sum price in theSchedules. The Engineer may take account of the breakdown when preparingPayment Certificates, but shall not be bound by it.
(e) Notwithstanding the provisions of subparagraph (b), Contractor’s Equipment,
including essential spare parts therefor, imported by the Contractor for the solepurpose of executing the Contract shall be exempt from the payment of importduties and taxes upon importation.
The Employer shall make an advance payment, as an interest-free loan for
mobilisation, when the Contractor submits a guarantee in accordance with this Sub-Clause. The total advance payment, the number and timing of instalments (if morethan one), and the applicable currencies and proportions, shall be as stated in theContract Data.
Unless and until the Employer receives this guarantee, or if the total advance payment
is not stated in the Contract Data, this Sub-Clause shall not apply.
The Engineer shall issue an Interim Payment Certificate for the first instalment after
receiving a Statement (under Sub-Clause 14.3 [ Application for Interim Payment
Certificates ]) and after the Employer receives (i) the Performance Security in
accordance with Sub-Clause 4.2 [ Performance Security ]  and (ii) a guarantee in
amounts and currencies equal to the advance payment. This guarantee shall beissued by an entity and from within a country (or other jurisdiction) approved by theEmployer, and shall be in the form annexed to the Particular Conditions or in anotherform approved by the Employer.
The Contractor shall ensure that the guarantee is valid and enforceable until the
advance payment has been repaid, but its amount may be progressively reduced bythe amount repaid by the Contractor as indicated in the Payment Certificates. If theterms of the guarantee specify its expiry date, and the advance payment has not beenrepaid by the date 28 days prior to the expiry date, the Contractor shall extend thevalidity of the guarantee until the advance payment has been repaid.
Unless stated otherwise in the Contract Data, the advance payment shall be repaid
through percentage deductions from the interim payments determined by the Engineerin accordance with Sub-Clause 14.6 [ Issue of Interim Payment Certificates ], as follows:
(a) deductions shall commence in the next interim Payment Certificate following
that in which the total of all certified interim payments (excluding the advancepayment and deductions and repayments of retention) exceeds 30 percent ofthe Accepted Contract Amount less Provisional Sums; and
(b) deductions shall be made at the amortisation rate stated in the Contract Data
of the amount of each Interim Payment Certificate (excluding the advancepayment and deductions and repayments of retention) in the currencies and14.2
Advance Payment
proport"
Contract Payment Procedures and Advance Repayment Terms," be made at the amortisation rate stated in the Contract Data
of the amount of each Interim Payment Certificate (excluding the advancepayment and deductions and repayments of retention) in the currencies and14.2
Advance Payment
proportions of the advance payment until such time as the advance payment
has been repaid; provided that the advance payment shall be completely repaidprior to the time when 80 percent of the Accepted Contract Amount lessProvisional Sums has been certified for payment.
If the advance payment has not been repaid prior to the issue of the Taking-Over
Certificate for the Works or prior to termination under Clause 15 [ Termination by
Employer ], Clause 16 [ Suspension and Termination by Contractor ] or Clause 19
[Force Majeure ] (as the case may be), the whole of the balance then outstanding shall
immediately become due and payable by the Contractor to the Employer.
The Contractor shall submit a Statement in six copies to the Engineer after the end of
each month, in a form approved by the Engineer, showing in detail the amounts towhich the Contractor considers himself to be entitled, together with supportingdocuments which shall include the report on the progress during this month inaccordance with Sub-Clause 4.21 [ Progress Reports ].
The Statement shall include the following items, as applicable, which shall be
expressed in the various currencies in which the Contract Price is payable, in thesequence listed:
(a) the estimated contract value of the Works executed and the Contractor’s
Documents produced up to the end of the month (including Variations butexcluding items described in sub-paragraphs (b) to (g) below);
(b) any amounts to be added and deducted for changes in legislation and changes
in cost, in accordance with Sub-Clause 13.7 [ Adjustments for Changes in
Legislation ] and Sub-Clause 13.8 [ Adjustments for Changes in Cost ];
(c) any amount to be deducted for retention, calculated by applying the
percentage of retention stated in the Contract Data to the total of the aboveamounts, until the amount so retained by the Employer reaches the limit ofRetention Money (if any) stated in the Contract Data;
(d) any amounts to be added and deducted for the advance payment and
repayments in accordance with Sub-Clause 14.2 [ Advance Payment ];
(e) any amounts to be added and deducted for Plant and Materials in accordance
with Sub-Clause 14.5 [ Plant and Materials intended for the Works ];
(f) any other additions or deductions which may have become due under the
Contract or otherwise, including those under Clause 20 [ Claims, Disputes and
Arbitration ]; and
(g) the deduction of amounts certified in all previous Payment Certificates"
Contract Payment Procedures and Interim Certificates Explained," any other additions or deductions which may have become due under the
Contract or otherwise, including those under Clause 20 [ Claims, Disputes and
Arbitration ]; and
(g) the deduction of amounts certified in all previous Payment Certificates.
If the Contract includes a schedule of payments specifying the instalments in which
the Contract Price will be paid, then unless otherwise stated in this schedule:
(a) the instalments quoted in this schedule of payments shall be the estimated
contract values for the purposes of sub-paragraph (a) of Sub-Clause 14.3[Application for Interim Payment Certificates ];
(b) Sub-Clause 14.5 [ Plant and Materials intended for the Works ] shall not apply; and
(c) if these instalments are not defined by reference to the actual progress
achieved in executing the Works, and if actual progress is found to be lessthan that on which this schedule of payments was based, then the Engineermay proceed in accordance with Sub-Clause 3.5 [ Determinations ] to agree
or determine revised instalments, which shall take account of the extent towhich progress is less than that on which the instalments were previouslybased.14.3
Application for Interim 
Payment Certificates
## 14 4
Schedule of Payments
## 46 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
If the Contract does not include a schedule of payments, the Contractor shall submit
non-binding estimates of the payments which he expects to become due during eachquarterly period. The first estimate shall be submitted within 42 days after theCommencement Date. Revised estimates shall be submitted at quarterly intervals,until the Taking-Over Certificate has been issued for the Works.
If this Sub-Clause applies, Interim Payment Certificates shall include, under sub-
paragraph (e) of Sub-Clause 14.3, (i) an amount for Plant and Materials which havebeen sent to the Site for incorporation in the Permanent Works, and (ii) a reductionwhen the contract value of such Plant and Materials is included as part of thePermanent Works under sub-paragraph (a) of Sub-Clause 14.3 [ Application for
Interim Payment Certificate s].
If the lists referred to in sub-paragraphs (b)(i) or (c)(i) below are not included in the
Contract Data, this Sub-Clause shall not apply.
The Engineer shall determine and certify each addition if the following conditions are
satisfied:
(a) the Contractor has:
(i) kept satisfactory records (including the orders, receipts, Costs and use
of Plant and Materials) which are available for inspection, and
(ii) submitted a statement of the Cost of acquiring and delivering"
Contractor's Requirements for Payment of Plant and Materials,") the Contractor has:
(i) kept satisfactory records (including the orders, receipts, Costs and use
of Plant and Materials) which are available for inspection, and
(ii) submitted a statement of the Cost of acquiring and delivering the Plant
and Materials to the Site, supported by satisfactory evidence;
and either:
(b) the relevant Plant and Materials:
(i) are those listed in the Schedules for payment when shipped,
(ii) have been shipped to the Country, en route to the Site, in accordance
with the Contract; and
(iii) are described in a clean shipped bill of lading or other evidence of
shipment, which has been submitted to the Engineer together withevidence of payment of freight and insurance, any other documentsreasonably required, and a bank guarantee in a form and issued by anentity approved by the Employer in amounts and currencies equal to theamount due under this Sub-Clause: this guarantee may be in a similarform to the form referred to in Sub-Clause 14.2 [ Advance Payment ] and
shall be valid until the Plant and Materials are properly stored on Site andprotected against loss, damage or deterioration;
or
(c) the relevant Plant and Materials:
(i) are those listed in the Schedules for payment when delivered to the Site,
and
(ii) have been delivered to and are properly stored on the Site, are protected
against loss, damage or deterioration, and appear to be in accordancewith the Contract.
The additional amount to be certified shall be the equivalent of eighty percent of the
Engineer’s determination of the cost of the Plant and Materials (including delivery toSite), taking account of the documents mentioned in this Sub-Clause and of thecontract value of the Plant and Materials.14.5
Plant and Materials 
intended for the Works
The currencies for this additional amount shall be the same as those in which payment
will become due when the contract value is included under sub-paragraph (a) of Sub-Clause 14.3 [ Application for Interim Payment Certificates ]. At that time, the Payment
Certificate shall include the applicable reduction which shall be equivalent to, and inthe same currencies and proportions as, this additional amount for the relevant Plantand Materials.
No amount will be certified or paid until the Employer has received and approved the
Performance Security. Thereafter, the Engineer shall, within 28 days after receiving aStatement and supporting documents, issue to the Employer an Interim PaymentCertificate which shall state the amount which the Engineer fairly determines to bedue, with supporting particulars.
However, prior to issuing the Taking-Over Certificate for the Works, the Engineer shall
not be bound to issue an Interim Payment Certificate in an amount which would (afterretention and other deductions) be less than the minimum amount of"
Interim Payment Certificate Guidelines for Contractors,".
However, prior to issuing the Taking-Over Certificate for the Works, the Engineer shall
not be bound to issue an Interim Payment Certificate in an amount which would (afterretention and other deductions) be less than the minimum amount of Interim PaymentCertificates (if any) stated in the Contract Data. In this event, the Engineer shall givenotice to the Contractor accordingly.
An Interim Payment Certificate shall not be withheld for any other reason, although:(a) if any thing supplied or work done by the Contractor is not in accordance with
the Contract, the cost of rectification or replacement may be withheld untilrectification or replacement has been completed; and/or
(b) if the Contractor was or is failing to perform any work or obligation in
accordance with the Contract, and had been so notified by the Engineer, thevalue of this work or obligation may be withheld until the work or obligation hasbeen performed.
The Engineer may in any Payment Certificate make any correction or modification that
should properly be made to any previous Payment Certificate. A Payment Certificate shallnot be deemed to indicate the Engineer’s acceptance, approval, consent or satisfaction.
The Employer shall pay to the Contractor:
(a) the first instalment of the advance payment within 42 days after issuing the
Letter of Acceptance or within 21 days after receiving the documents inaccordance with Sub-Clause 4.2 [ Performance Security ] and Sub-Clause 14.2
[Advance Payment ], whichever is later;
(b) the amount certified in each Interim Payment Certificate within 56 days after the
Engineer receives the Statement and supporting documents or, at a time whenthe Bank’s loan or credit (from which part of the payments to the Contractor isbeing made) is suspended, the amount shown on any statement submitted bythe Contractor, within 14 days after such statement is submitted. Anydiscrepancy shall be rectified in the next payment to the Contractor; and
(c) the amount certified in the Final Payment Certificate within 56 days after the
Employer receives this Payment Certificate or, at a time when the Bank’s loan orcredit (from which part of the payments to the Contractor is being made) issuspended, the undisputed amount shown in the Final Statement, within 56 daysafter the date of notification of the suspension in accordance with Sub-Clause 16.2.
Payment of the amount due in each currency shall be made into the bank account,
nominated by the Contractor, in the payment country (for this currency) specified inthe Contract.14.6
Issue of Interim Payment 
Certificates
## 14 7
Payment
## 48 © FIDIC 2005. MDB Harmonised Conditions of Contract for Construction - General Conditions.
If the Contractor does not receive"
